Text;Period;EstYear;Tokens;DiagMC;Initial;Final;DiagCC;Initial;Final;DiagSC;Initial;Final;AuxVRoot;Aux V;V Aux;AuxVSC;Aux V;V Aux;DiagVP;Initial;Final;VtoC;spro V;V spro;Scan;Can;NonCan;ScrSC;NoScr;Scr;NGen (Subjects);GenN;Ngen;NGen (Objects);GenN;Ngen;Rel; +te;se;Topic(PP-spro);No Top;Top;Topic(OBJ-spro);No Top;Top;Topic(PP-SUBJ);No Top;Top;Topic(OBJ-SUBJ);No Top;Top;NegCon;No NC;NC;Expl;overt;null
1.01 Letter of Alexander;1;870;531;0;0;10;0;0;22;6.8;3;41;71.4;20;8;40.3;25;37;0;0;10;27.2;44;118;36.8;7;12;45.5;10;12;44.1;15;19;49.6;60;61;67.9;55;26;63.6;7;4;54.5;6;5;61.9;13;8;42.9;3;4;14.3;1;6;50;1;1
1.02 Marvels of the East;1;870;163;0;0;1;50;1;1;40;2;3;76.9;10;3;30;3;7;0;0;2;64.3;18;10;80;4;1;NA;0;0;81.8;9;2;89.5;34;4;46.9;30;34;60;3;2;37.5;3;5;38.5;10;16;66.7;2;1;NA;0;0;NA;0;0
1.03 Bede;1;895;4923;8.7;4;42;4.9;5;98;2.8;7;246;65.3;226;120;35.4;359;656;2;2;96;32.2;330;695;58;112;81;34.4;42;80;52.3;238;217;56.2;1404;1095;45.1;595;723;80.9;76;18;51.6;33;31;57.1;68;51;47.2;17;19;33.3;10;20;24.70588235;21;64
1.04 Cura Pastoralis;1;891;3486;24.1;26;82;16.3;13;67;5.2;29;532;99.4;540;3;63.4;680;393;2.4;6;239;78;725;205;60.2;62;41;12.7;31;214;44.4;136;170;50;585;584;73.3;1005;366;56.4;66;51;57.1;56;42;49.1;82;85;71;49;20;2.4;4;161;43.36283186;49;64
1.05 Boethius;1;897;3006;23.1;21;70;20.7;12;46;6.6;26;367;97.5;314;8;60.3;452;297;2.9;8;269;50.2;569;564;63.8;60;34;9.2;12;119;64.2;120;67;58.4;213;152;73.5;587;212;72.7;56;21;61.9;60;37;85.3;58;10;86.2;56;9;0.7;2;275;81.81818182;18;4
1.06 Augustine Soliloquy;1;899;1002;15.2;12;67;13.6;3;19;5.3;10;177;98.1;106;2;52.3;127;116;3.3;3;89;47.1;262;294;58.8;10;7;11.8;8;60;65.7;23;12;71.9;92;36;69.7;269;117;70;21;9;46.3;19;22;60;9;6;100;13;0;3.2;3;91;75;3;1
1.07 Orosius;1;898;3321;10.4;5;43;11.7;15;113;5.6;14;236;82.1;224;49;34.9;252;470;3.7;4;103;68.3;332;154;76.4;94;29;14.4;27;161;86.3;132;21;79.5;431;111;71.9;600;235;67.4;64;31;71.9;46;18;36.6;116;201;90.3;56;6;4.5;3;63;61.53846154;8;5
1.08 Martyrology;1;875;2153;20.9;9;34;21.3;16;59;8.6;5;53;100;186;0;86.8;112;17;0;0;63;47.6;147;162;81.2;95;22;36.4;8;14;93.3;332;24;68;441;208;42.5;152;206;81.2;95;22;92.5;62;5;57.9;128;93;73.2;41;15;6.9;2;27;0;0;6
1.09 Charters1;1;859;265;0;0;8;29.4;5;12;0;0;30;87.5;7;1;32.6;14;29;18.2;2;9;40.5;15;22;100;9;0;9.1;1;10;53.3;8;7;70.5;98;41;75.8;47;15;90;9;1;83.3;5;1;100;14;0;88.9;8;1;0;0;3;100;1;0
2.01 Benedictine Rule;2;965;1288;25.6;10;29;14.3;4;24;1.5;1;65;93.4;141;10;24.5;61;188;3.2;1;30;57;184;139;71.4;10;4;19.2;5;21;68.8;95;43;74.6;408;139;88.1;295;40;52.8;19;17;44.1;15;19;51.7;31;29;70.8;17;7;2.9;2;66;56.25;9;7
2.02 Blickling Homilies;2;950;3050;6.1;6;93;6.9;7;94;4.3;8;180;89.1;294;36;54.6;253;210;1.3;1;78;59.4;407;278;59.6;90;61;25.3;20;59;61.7;140;87;75.1;698;232;66.6;426;214;77.1;108;32;66.1;74;38;71.8;74;29;85.7;48;8;2.1;2;92;42.10526316;16;22
