text,Estimated_Year,IP1,IP2,IP3,IP4,VP1,VP2,SB1,SB2,SB3,SB4,SUB,V-C,GEN,REL,Period
cobede,895,0.0531400966,0.0218446602,0.2633744856,0.1466836735,0.0040983607,0.1768707483,0.2432432432,0.1494845361,0.4,0.5714285714,0.423880597,0.3167770419,0.5876201244,0.4136807818,1
coboeth,897,0.1623376623,0.0481481481,0.484939759,0.4689922481,0.0295081967,0.2849462366,0.5882352941,0.0837696335,0.2254901961,0.1805555556,0.7342995169,0.4802694899,0.5796460177,0.7324503311,1
cocura,891,0.2164948454,0.0286831812,0.4690909091,0.3685239492,0.018766756,0.4387096774,0.4242424242,0.0721925134,0.1886792453,0.1219512195,0.6274509804,0.759018759,0.5042682927,0.7305122494,1
coorosiu,898,0.0945945946,0.037593985,0.2338983051,0.2389937107,0.0211864407,0.1237113402,0.216374269,0.0918727915,0.24,0.3214285714,0.677002584,0.6475,0.8629856851,0.6941176471,1
coalex,870,0.0256410256,0.09375,0.3513513514,0.1571428571,0,0.2352941176,0.2,0.21875,,0.4285714286,0.46875,0.2635135135,0.4731182796,0.6666666667,1
cosolilo,899,0.0967741935,0.032967033,0.4161490683,0.3917525773,0.0327868852,0.3103448276,0.5,0.11,0.2745098039,0.1875,0.5789473684,0.4435797665,0.7019230769,0.6778711485,1
comart3,875,0.186440678,0.0621468927,0.8181818182,0.5218978102,0,0.4461538462,0.4929577465,0.25,0.25,0.5,0.7388535032,0.4573002755,0.8270561107,0.4367816092,1
cosolsat1,870,0.1428571429,,,0.1538461538,,,,,,,0.5454545455,,0.8518518519,0.4603174603,1
1.10.ASC1.psd,880,0.1034482759,0.0555555556,0.4,0.2272727273,0,,0.1818181818,0.1666666667,,,0.4705882353,,0.9170124481,0.5441176471,1
1.11.Charters1.psd,900,0.1025641026,0.0487804878,0.2083333333,0.2368421053,0.1111111111,0.1666666667,0.3571428571,0.1666666667,0.4285714286,0.2857142857,0.4375,0.2592592593,0.7142857143,0.7368421053,1
cobenrul,965,0.1643835616,0,0.21,0.0941704036,0.012987013,0.2580645161,0.4146341463,0.0377358491,0.1,,0.6097560976,0.5481481481,0.7665198238,0.8765432099,2
coblick,950,0.0694444444,0.046875,0.4144144144,0.3382352941,0.0064516129,0.2747252747,0.2291666667,0.1416666667,0.3191489362,0.3636363636,0.6612244898,0.5922165821,0.7498033045,0.6479338843,2
coverhom,955,0.0954356846,0.027027027,0.3778625954,0.3084677419,0.0219298246,0.216,0.1983471074,0.1621621622,0.2666666667,0.3125,0.5851851852,0.5970394737,0.7835051546,0.7259358289,2
cowsgosp,990,0.3988571429,0.1194690265,0.6862745098,0.5441558442,0.0368421053,0.4534883721,0.8181818182,0.509202454,0.5242718447,0.8681318681,0.768,0.5975247525,0.9088803089,0.823777403,2
cochdrul,985,0.4117647059,0.0898876404,0.6307692308,0.25,0.0810810811,0.25,0.6666666667,0.2954545455,0.8181818182,0.7142857143,0.6554621849,0.5416666667,0.8051529791,0.9118644068,2
2.06.ASC2.psd,930,0.2083333333,,0.2058823529,,0,0.4736842105,0.3333333333,,,0.2857142857,,0.1428571429,0.8571428571,0.688172043,2
2.07.Charters2.psd,980,0.1428571429,0.0454545455,,0.55,,,,0.125,,,,,0.8219178082,0.8965517241,2
cobyrht,1011,0,0.0434782609,0.76,0.6949152542,0,0.5714285714,0.6666666667,,0.5555555556,,0.5833333333,0.7387387387,0.8623188406,0.8039215686,3
coapollo,1025,0.2115384615,0.0779220779,0.6111111111,0.4444444444,0,0.3571428571,0.65625,0.3939393939,0.9,0.6666666667,0.7352941176,0.661971831,0.75,0.7878787879,3
coalcuin,1070,0.2,0.0625,0.6129032258,0.2280701754,0.037037037,0.3333333333,0.5,0.1052631579,,,0.44,0.5405405405,0.7035175879,0.6785714286,3
coaelive,997,0.355,0.1046312178,0.5108695652,0.4989154013,0.1003039514,0.4915730337,0.6666666667,0.4832535885,0.4162679426,0.7226890756,0.7844202899,0.7841601393,0.9086884339,0.7881097561,3
coaelhom,991,0.2985685072,0.0931780366,0.5622568093,0.4391891892,0.0210843373,0.4960629921,0.859922179,0.4098360656,0.6356589147,0.7875,0.7100494234,0.7554417414,0.7916124837,0.7361927145,3
cocathom2,994,0.3537037037,0.0578358209,0.5231143552,0.3765490944,0.0255591054,0.4573643411,0.7814569536,0.3582887701,0.5621301775,0.6885245902,0.733463035,0.7528653295,0.8051130048,0.764516129,3
3.08.Aelfric_Homilies_Supplemental.psd,991,0.4,0.1396303901,0.4608294931,0.4885361552,0.1134020619,0.5256410256,0.7932692308,0.5655172414,0.5578947368,0.7128712871,0.7828418231,0.8367626886,0.8472786353,0.8362341772,3
3.09.Aelfric_Letters.psd,1000,0.3523809524,0.0877192982,0.4716981132,0.5870646766,0.1153846154,0.4777777778,0.8769230769,0.4347826087,0.6739130435,0.625,0.7891156463,0.7818181818,0.8953068592,0.7632508834,3
3.10.Aelfric_Old_Testament.psd,1005,0.4321428571,0.0992779783,0.4263157895,0.6615384615,0.0584795322,0.6095238095,0.8221343874,0.4085365854,0.4812030075,0.6888888889,0.77593361,0.6661466459,0.9197261979,0.8646532438,3
cotempo,996,1,0.2571428571,0.5,0.66,0,,,0.1666666667,,,0.7692307692,0.7608695652,0.8879310345,0.6774193548,3
cowulf,1010,0.3010752688,0.0791366906,0.396039604,0.3333333333,0.0303030303,0.2950819672,0.6,0.125,0.4411764706,0.3846153846,0.7254901961,0.6538461538,0.9058823529,0.8320754717,3
3.14.Wulfstan_Institutes_of_Polity.psd,1008,,0.0526315789,0.24,0.1666666667,0.1,0,,,,,,0.6896551724,0.9238095238,0.9259259259,3
3.16.ASC3.psd,1007,0.3265306122,0.1028037383,0.4066666667,0.5505617978,0.0879120879,0.4107142857,0.256097561,0.2459016393,0.4117647059,0.6666666667,0.7794117647,0.6417910448,0.92578125,0.6481927711,3
3.17.Charters3.psd,1050,0.6923076923,0.0217391304,0.4117647059,0.4888888889,0,,0.9090909091,0.0952380952,0.8333333333,,0.8571428571,,0.8791946309,0.9,3
coeluc1,1108,0.8333333333,0.4117647059,0.7647058824,0.9565217391,0.3333333333,,,,,,0.8333333333,,0.7826086957,0.7,4
4.02.ASC5[E]Continuation,1143,0.3114754098,0.35,0.847826087,0.5,0.24,0.8181818182,0.6538461538,0.6153846154,0.7692307692,0.7272727273,0.82,0.6142857143,0.9078947368,0.7448275862,4
4.03.In_Festis_Sancti_Marie.psd,1110,0.1666666667,0.1111111111,,0.6666666667,0,0.875,,,,,0.6666666667,0.8709677419,0.8552631579,0.8611111111,4
4.04.Trinity_Homilies(5_sermons_removed).psd,1160,0.375,0.2666666667,0.7698412698,0.6596858639,0.1904761905,0.6198347107,0.847826087,0.6666666667,0.7068965517,0.6326530612,0.8839285714,0.842364532,0.9839572193,0.9968152866,4
4.05.Lambeth_Homilies(without_OE_copies).psd,1160,0.5,0.3333333333,0.75,0.65625,0.1333333333,0.5,0.5555555556,0.5,0.5833333333,,0.75,0.9591836735,0.9848484848,0.9814814815,4
4.06.Vices_and_Virtues.psd,1180,0.2631578947,0.3076923077,0.8263888889,0.6919191919,0.0926829268,0.4772727273,0.8285714286,0.7352941176,0.4155844156,0.4814814815,0.7288135593,0.8401015228,0.9944444444,0.9918699187,4
5.01.Ancrene_Riwle.psd,1215,0.8050847458,0.8379204893,0.9701492537,0.8230563003,0.6213235294,0.859030837,0.9949748744,0.9322916667,0.9083665339,0.8564593301,0.808716707,0.7704626335,0.9821882952,0.998206278,5
5.02.Hali_Meidhad.psd,1225,0.8292682927,0.8163265306,0.8846153846,0.6739130435,0.4318181818,0.92,0.975,0.8846153846,0.9333333333,0.8846153846,0.7719298246,0.8367346939,0.9880239521,1,5
5.03.Saint_Katherine.psd,1225,0.7317073171,0.7727272727,0.6206896552,0.8571428571,0.5535714286,0.7142857143,0.9459459459,0.8888888889,0.9047619048,0.9259259259,0.8245614035,0.7692307692,1,1,5
5.04.Saint_Juliana.psd,1225,0.7966101695,0.6578947368,0.8695652174,0.78125,0.5192307692,0.8285714286,0.9361702128,1,0.9152542373,0.9032258065,0.8214285714,0.8651685393,0.989010989,1,5
5.05.Saint_Margaret.psd,1225,0.7333333333,0.6470588235,0.3333333333,0.6,0.4210526316,0.7619047619,0.875,0.9696969697,0.92,0.8947368421,0.8048780488,0.7920792079,0.9897959184,1,5
5.06.Sawles_Warde.psd,1225,0.6129032258,0.7391304348,,0.7333333333,0.5428571429,0.7142857143,0.9583333333,0.9285714286,0.9259259259,0.8666666667,0.6111111111,0.8888888889,1,1,5
01-Chad.psd,870,0.0869565217,0,,0.1923076923,0,,0.125,0,,,0.6666666667,0.71875,0.64,0.3888888889,
02-Saint_Christopher.psd,870,0,0,,0.2307692308,0,,,,,,,,0.7954545455,0.5714285714,
03-Mary_of_Egypt.psd,989,0.0689655172,0,0.4074074074,0.1354166667,0,0.3571428571,0.2580645161,0.1923076923,,,0.5277777778,0.5681818182,0.625,0.7542372881,
04-Saint_Euphrosyne.psd,989,0.380952381,0.0344827586,0.36,0.4722222222,0,0,0.875,0.2142857143,,,0.4,0.4659090909,0.8101265823,0.5588235294,
05-Saint_Eustace_and_Companions.psd,989,0.358974359,0.015625,0.28,0.4390243902,0.0526315789,0.75,0.625,0.1176470588,0.5714285714,,0.3103448276,0.5135135135,0.6458333333,0.7380952381,
06-Seven_Sleepers.psd,989,0.3676470588,0.0175438596,0.2040816327,0.1935483871,0.0204081633,0.0555555556,0.4375,0.15625,0.5,0.1666666667,0.3469387755,0.6891891892,0.8695652174,0.826446281,
07-Holy_Rood_Tree.psd,1030,0.2777777778,0.0634920635,0.0970873786,0.15625,0.0107526882,0.0333333333,0.4827586207,0.1463414634,0.6666666667,,0.5,0.3525179856,0.8513513514,0.8717948718,
08-James_the_Greater.psd,1030,0.4285714286,0.1666666667,,0.6,0,,0.875,,,,,0.8076923077,0.82,0.8846153846,
09-Saint_Neot.psd,1065,0,0,,0.1666666667,0,,,,,,,0.8064516129,0.8444444444,0.8181818182,
10-Saint_Margaret_(Corpus).psd,1050,0.0181818182,0,0.32,0.5483870968,0.03125,0.25,0.1666666667,0.3846153846,0.4444444444,,0.4375,0.5517241379,0.9245283019,0.8148148148,
11-Saint_Margaret_(Tiberius).psd,1050,0.15,0.0526315789,,0.5833333333,0,,0.7222222222,1,0.4166666667,0.6363636364,0.125,0.7678571429,0.8133333333,0.6818181818,
12-Herbarium.psd,940,0.0470588235,0,0.1509433962,0.1510791367,0.0294117647,0.0666666667,0.25,0.0697674419,0,,0.5111111111,0.8676122931,0.8662650602,0.922459893,
13-Quadrupedibus.psd,940,0.2083333333,0.1,,0.5454545455,0,,,0,,,0.3125,0.8514851485,0.9252669039,0.8837209302,
14b-Lch1.psd,910,0.4,0.0555555556,0.4117647059,0.3095238095,0.0384615385,0.2857142857,,0,,,0.3214285714,0.2631578947,0.9125560538,0.7125,
14c-Lch2.psd,910,0.1666666667,0.0789473684,0.3666666667,0.4102564103,0.0638297872,0.5,0,0.0740740741,0.0833333333,,0.3804347826,0.4444444444,0.7956989247,0.6071428571,
14d-Lch3.psd,1009,,0.0357142857,0.5384615385,0.5294117647,0.0909090909,0.2857142857,,0,,,0.4285714286,0.8095238095,0.865497076,0.7777777778,
15-Lacnunga.psd,1020,,0.0714285714,0.5,0.5,,0.4285714286,,0,,,0.2352941176,,0.8726415094,0.7692307692,
16-Nicodemus.psd,945,0.191011236,0.0487804878,0.4133333333,0.3294117647,0.0185185185,0.1111111111,0.4230769231,0.1666666667,0.2857142857,0.3333333333,0.4,0.7155963303,0.7925925926,0.7829457364,
17-Vindicta_Salvatoris.psd,945,0.0789473684,0.0588235294,0.5,0.1777777778,0,0.1333333333,0.1818181818,0.4,0.4,0.375,0.5714285714,0.8125,0.9152542373,0.693877551,
18-De_Ascensione.psd,1030,0.6875,0.0588235294,,0.28,0,,0.8571428571,,,,0.1538461538,0.6086956522,0.8085106383,1,
19-Distichs_of_Cato.psd,995,0.4,0.0444444444,0.6666666667,0.5151515152,0,0.375,,0.0357142857,,,0.3461538462,0.1636363636,0.9285714286,0.9259259259,
